datetime,Latitude,Longitude,Altitude,(m),Speed(km/h),Total distance(km)
2024-04-02 14:42:40,53.355372,-6.279828,79.0,5.7,1.266,
2024-04-02 14:42:41,53.355371,-6.279806,78.0,5.4,1.267,
2024-04-02 14:42:42,53.355365,-6.279785,78.0,5.5,1.269,
2024-04-02 14:42:43,53.355361,-6.279772,77.0,3.5,1.27,
2024-04-02 14:42:44,53.355357,-6.279757,77.0,4.0,1.271,
2024-04-02 14:42:45,53.355358,-6.27975,77.0,1.6,1.271,
2024-04-02 14:42:46,53.355356,-6.27974,78.0,2.4,1.272,
2024-04-02 14:42:47,53.355351,-6.27974,79.0,2.0,1.272,
2024-04-02 14:42:48,53.355349,-6.279739,79.0,1.1,1.273,
2024-04-02 14:42:49,53.355348,-6.279739,79.0,0.0,1.273,
2024-04-02 14:42:50,53.355348,-6.279739,79.0,0.0,1.273,
2024-04-02 14:42:51,53.355348,-6.279739,79.0,0.0,1.273,
2024-04-02 14:42:52,53.355348,-6.279739,79.0,0.0,1.273,
2024-04-02 14:42:53,53.355348,-6.279739,79.0,0.0,1.273,
2024-04-02 14:42:54,53.355348,-6.279739,79.0,0.0,1.273,
2024-04-02 14:42:55,53.355348,-6.279739,79.0,0.0,1.273,
2024-04-02 14:42:56,53.355348,-6.279739,79.0,0.0,1.273,
2024-04-02 14:42:57,53.355348,-6.279739,79.0,0.0,1.273,
2024-04-02 14:42:58,53.355348,-6.279739,79.0,0.0,1.273,
2024-04-02 14:42:59,53.355348,-6.279739,79.0,0.0,1.273,
2024-04-02 14:43:00,53.355348,-6.279739,79.0,0.0,1.273,
2024-04-02 14:43:01,53.355348,-6.279739,79.0,0.0,1.273,
2024-04-02 14:43:02,53.355348,-6.279739,79.0,0.0,1.273,
2024-04-02 14:43:03,53.355355,-6.279765,79.0,6.7,1.275,
2024-04-02 14:43:04,53.35536,-6.279776,79.0,3.4,1.276,
2024-04-02 14:43:05,53.35537,-6.279798,78.0,6.4,1.277,
2024-04-02 14:43:06,53.355374,-6.27982,77.0,5.6,1.279,
2024-04-02 14:43:07,53.355378,-6.279844,77.0,6.0,1.281,
2024-04-02 14:43:08,53.35538,-6.279864,77.0,4.9,1.282,
2024-04-02 14:43:09,53.355384,-6.279881,77.0,4.3,1.283,
2024-04-02 14:43:10,53.355387,-6.279898,77.0,4.2,1.284,
2024-04-02 14:43:11,53.355389,-6.27992,77.0,5.3,1.286,
2024-04-02 14:43:12,53.355392,-6.279939,77.0,4.7,1.287,
2024-04-02 14:43:13,53.355398,-6.279953,77.0,4.4,1.288,
2024-04-02 14:43:14,53.355403,-6.27997,78.0,4.5,1.29,
2024-04-02 14:43:15,53.355407,-6.279987,78.0,4.5,1.291,
2024-04-02 14:43:16,53.35541,-6.280003,78.0,3.9,1.292,
2024-04-02 14:43:17,53.355414,-6.280015,78.0,3.3,1.293,
2024-04-02 14:43:18,53.355419,-6.280039,79.0,5.9,1.294,
2024-04-02 14:43:19,53.355423,-6.280058,79.0,4.8,1.296,
2024-04-02 14:43:20,53.355428,-6.280074,79.0,4.6,1.297,
2024-04-02 14:43:21,53.355431,-6.280097,79.0,5.5,1.299,
2024-04-02 14:43:22,53.355433,-6.280119,78.0,5.3,1.3,
2024-04-02 14:43:23,53.355435,-6.280138,78.0,4.6,1.301,
2024-04-02 14:43:24,53.355439,-6.280157,78.0,4.9,1.303,
2024-04-02 14:43:25,53.355439,-6.280171,78.0,3.3,1.304,
2024-04-02 14:43:26,53.355439,-6.280181,78.0,2.5,1.304,
2024-04-02 14:43:27,53.35544,-6.280199,78.0,4.4,1.305,
2024-04-02 14:43:28,53.355444,-6.280214,78.0,3.9,1.307,
2024-04-02 14:43:29,53.355448,-6.280231,78.0,4.3,1.308,
2024-04-02 14:43:30,53.355455,-6.280253,78.0,5.9,1.309,
2024-04-02 14:43:31,53.355461,-6.280272,79.0,5.1,1.311,
2024-04-02 14:43:32,53.355464,-6.280289,80.0,4.3,1.312,
2024-04-02 14:43:33,53.355465,-6.280303,80.0,3.3,1.313,
2024-04-02 14:43:34,53.355467,-6.280314,81.0,2.8,1.314,
2024-04-02 14:43:35,53.355467,-6.28032,81.0,1.3,1.314,
2024-04-02 14:43:36,53.355469,-6.280325,81.0,1.5,1.315,
2024-04-02 14:43:37,53.355469,-6.280325,81.0,0.0,1.315,
2024-04-02 14:43:38,53.355469,-6.280325,81.0,0.0,1.315,
2024-04-02 14:43:39,53.355485,-6.280337,81.0,6.9,1.316,
2024-04-02 14:43:40,53.35549,-6.280341,81.0,2.1,1.317,
2024-04-02 14:43:41,53.355494,-6.280345,81.0,2.1,1.318,
2024-04-02 14:43:42,53.3555,-6.280348,80.0,2.5,1.318,
2024-04-02 14:43:43,53.3555,-6.280348,80.0,0.0,1.318,
2024-04-02 14:43:44,53.3555,-6.280348,80.0,0.0,1.318,
2024-04-02 14:43:45,53.355518,-6.280351,79.0,7.1,1.32,
2024-04-02 14:43:46,53.355527,-6.280346,79.0,4.0,1.321,
2024-04-02 14:43:47,53.355536,-6.280343,79.0,3.5,1.322,
2024-04-02 14:43:48,53.355547,-6.280345,79.0,4.3,1.324,
2024-04-02 14:43:49,53.355559,-6.280346,79.0,5.0,1.325,
2024-04-02 14:43:50,53.355568,-6.280341,78.0,3.6,1.326,
2024-04-02 14:43:51,53.355575,-6.280343,80.0,2.9,1.327,
2024-04-02 14:43:52,53.355576,-6.280347,80.0,1.0,1.327,
2024-04-02 14:43:53,53.355576,-6.280352,81.0,1.3,1.327,
2024-04-02 14:43:54,53.355576,-6.280352,81.0,0.0,1.327,
2024-04-02 14:43:55,53.355576,-6.280352,81.0,0.0,1.327,
2024-04-02 14:43:56,53.355576,-6.280352,81.0,0.0,1.327,
2024-04-02 14:43:57,53.355576,-6.280352,81.0,0.0,1.327,
2024-04-02 14:43:58,53.355576,-6.280352,81.0,0.0,1.327,
2024-04-02 14:43:59,53.355576,-6.280352,81.0,0.0,1.327,
2024-04-02 14:44:00,53.355576,-6.280352,81.0,0.0,1.327,
2024-04-02 14:44:01,53.355576,-6.280352,81.0,0.0,1.327,
2024-04-02 14:44:02,53.355576,-6.280352,81.0,0.0,1.327,
2024-04-02 14:44:03,53.355576,-6.280352,81.0,0.0,1.327,
2024-04-02 14:44:04,53.355576,-6.280352,81.0,0.0,1.327,
2024-04-02 14:44:05,53.355576,-6.280352,81.0,0.0,1.327,
2024-04-02 14:44:06,53.355576,-6.280352,81.0,0.0,1.327,
2024-04-02 14:44:07,53.355576,-6.280352,81.0,0.0,1.327,
2024-04-02 14:44:08,53.355576,-6.280352,81.0,0.0,1.327,
2024-04-02 14:44:09,53.355576,-6.280352,81.0,0.0,1.327,
2024-04-02 14:44:10,53.355576,-6.280352,81.0,0.0,1.327,
2024-04-02 14:44:11,53.355576,-6.280352,81.0,0.0,1.327,
2024-04-02 14:44:12,53.355576,-6.280352,81.0,0.0,1.327,
2024-04-02 14:44:13,53.355576,-6.280352,81.0,0.0,1.327,
2024-04-02 14:44:14,53.355576,-6.280352,81.0,0.0,1.327,
2024-04-02 14:44:15,53.355576,-6.280352,81.0,0.0,1.327,
2024-04-02 14:44:16,53.355576,-6.280352,81.0,0.0,1.327,
2024-04-02 14:44:17,53.355576,-6.280352,81.0,0.0,1.327,
2024-04-02 14:44:18,53.355576,-6.280352,81.0,0.0,1.327,
2024-04-02 14:44:19,53.355576,-6.280352,81.0,0.0,1.327,
2024-04-02 14:44:20,53.355576,-6.280352,81.0,0.0,1.327,
2024-04-02 14:44:21,53.355576,-6.280352,81.0,0.0,1.327,
2024-04-02 14:44:22,53.355576,-6.280352,81.0,0.0,1.327,
2024-04-02 14:44:23,53.355576,-6.280352,81.0,0.0,1.327,
2024-04-02 14:44:24,53.355576,-6.280352,81.0,0.0,1.327,
2024-04-02 14:44:25,53.355576,-6.280352,81.0,0.0,1.327,
2024-04-02 14:44:26,53.355576,-6.280352,81.0,0.0,1.327,
2024-04-02 14:44:27,53.355576,-6.280352,81.0,0.0,1.327,
2024-04-02 14:44:28,53.355576,-6.280352,81.0,0.0,1.327,
2024-04-02 14:44:29,53.355576,-6.280352,81.0,0.0,1.327,
